LifeExpectancy,Status,GDP,Polio,Diphtheria,IncomeComposition
65,Developing,584.25921,6,65,0.479
59.9,Developing,612.696514,58,62,0.476
59.9,Developing,631.744976,62,64,0.47
59.5,Developing,669.959,67,67,0.463
59.2,Developing,63.537231,68,68,0.454
58.8,Developing,553.32894,66,66,0.448
58.6,Developing,445.8932979,63,63,0.434
58.1,Developing,373.3611163,64,64,0.433
57.5,Developing,369.835796,63,63,0.415
57.3,Developing,272.56377,58,58,0.405
57.3,Developing,25.2941299,58,58,0.396
57,Developing,219.1413528,5,5,0.381
56.7,Developing,198.7285436,41,41,0.373
56.2,Developing,187.84595,36,36,0.341
55.3,Developing,117.49698,35,33,0.34
54.8,Developing,114.56,24,24,0.338
77.8,Developing,3954.22783,99,99,0.762
77.5,Developing,4575.763787,98,98,0.761
77.2,Developing,4414.72314,99,99,0.759
76.9,Developing,4247.61438,99,99,0.752
76.6,Developing,4437.17868,99,99,0.738
76.2,Developing,494.358832,99,99,0.725
76.1,Developing,4114.136545,98,98,0.721
75.3,Developing,437.539647,99,99,0.713
75.9,Developing,363.13685,99,98,0.703
74.2,Developing,35.1293,97,97,0.696
73.5,Developing,279.142931,97,98,0.685
73,Developing,2416.588235,98,97,0.681
72.8,Developing,189.681557,97,97,0.674
73.3,Developing,1453.642777,98,98,0.67
73.6,Developing,1326.97339,97,97,0.662
72.6,Developing,1175.788981,97,97,0.656
75.6,Developing,4132.76292,95,95,0.743
75.4,Developing,547.8517,95,95,0.741
75.3,Developing,5471.866766,95,95,0.737
75.1,Developing,5564.82566,95,95,0.732
74.9,Developing,5432.2523,95,95,0.724
74.7,Developing,4463.394675,95,95,0.714
74.4,Developing,3868.83123,94,95,0.705
74.1,Developing,495.254866,92,93,0.697
73.8,Developing,3935.183343,95,95,0.69
73.4,Developing,3464.6179,95,95,0.686
72.9,Developing,31.122378,88,88,0.68
72.3,Developing,2598.9823,86,86,0.673
71.7,Developing,294.33556,87,87,0.663
71.6,Developing,1774.33673,86,86,0.653
71.4,Developing,1732.857979,89,89,0.644
71.3,Developing,1757.17797,86,86,0.636
52.4,Developing,3695.793748,7,64,0.531
51.7,Developing,479.31224,68,64,0.527
51.1,Developing,484.616884,67,77,0.523
56,Developing,4598.249988,75,75,0.508
51,Developing,4299.12889,73,71,0.495
49.6,Developing,3529.53482,81,77,0.488
49.1,Developing,3347.84485,63,6,0.48
48.7,Developing,3868.578883,65,69,0.468
48.2,Developing,2878.837144,75,73,0.454
47.7,Developing,262.415149,36,34,0.439
47.4,Developing,1443.991929,39,38,0.426
47.1,Developing,141.86844,4,4,0.415
46.8,Developing,779.468356,4,4,0.406
46.5,Developing,711.181716,37,41,0.401
45.7,Developing,526.168743,41,38,0.391
45.3,Developing,555.2969419,3,28,0.382
76.4,Developing,13566.9541,86,99,0.784
76.2,Developing,12888.29667,96,99,0.782
76.1,Developing,12224.86416,98,99,0.781
75.9,Developing,12565.44197,97,98,0.778
75.7,Developing,11929.34991,99,99,0.782
